domain,metricName,timestamp,value,hourOfDay,dayOfWeek,label
SEAT,failure_rate,2024-01-01T09:00:00,0.01,9,1,normal
SEAT,failure_rate,2024-01-01T10:00:00,0.02,10,1,normal
SEAT,failure_rate,2024-01-01T11:00:00,0.01,11,1,normal
SEAT,failure_rate,2024-01-01T12:00:00,0.03,12,1,normal
SEAT,failure_rate,2024-01-01T13:00:00,0.02,13,1,normal
SEAT,p95_duration,2024-01-01T09:00:00,245.3,9,1,normal
SEAT,p95_duration,2024-01-01T10:00:00,267.8,10,1,normal
SEAT,p95_duration,2024-01-01T11:00:00,289.4,11,1,normal
SEAT,p95_duration,2024-01-01T12:00:00,312.1,12,1,normal
SEAT,p95_duration,2024-01-01T13:00:00,298.5,13,1,normal
JUDGE,failure_rate,2024-01-02T09:00:00,0.02,9,2,normal
JUDGE,failure_rate,2024-01-02T10:00:00,0.01,10,2,normal
JUDGE,failure_rate,2024-01-02T11:00:00,0.03,11,2,normal
JUDGE,failure_rate,2024-01-02T14:00:00,0.02,14,2,normal
JUDGE,p95_duration,2024-01-02T09:00:00,356.2,9,2,normal
JUDGE,p95_duration,2024-01-02T10:00:00,378.9,10,2,normal
JUDGE,p95_duration,2024-01-02T11:00:00,401.3,11,2,normal
JUDGE,p95_duration,2024-01-02T14:00:00,423.7,14,2,normal
SEAT,failure_rate,2024-01-03T10:00:00,0.02,10,3,normal
SEAT,failure_rate,2024-01-03T11:00:00,0.01,11,3,normal
SEAT,failure_rate,2024-01-03T12:00:00,0.03,12,3,normal
SEAT,p95_duration,2024-01-03T10:00:00,276.4,10,3,normal
SEAT,p95_duration,2024-01-03T11:00:00,301.8,11,3,normal
JUDGE,failure_rate,2024-01-03T10:00:00,0.02,10,3,normal
JUDGE,p95_duration,2024-01-03T10:00:00,445.2,10,3,normal
JUDGE,p95_duration,2024-01-03T11:00:00,467.9,11,3,normal
SEAT,p95_duration,2024-01-03T12:00:00,389.1,12,3,normal
SEAT,failure_rate,2024-01-04T09:00:00,0.01,9,4,normal
SEAT,p95_duration,2024-01-04T09:00:00,312.5,9,4,normal
JUDGE,failure_rate,2024-01-05T10:00:00,0.02,10,5,normal
JUDGE,p95_duration,2024-01-05T10:00:00,389.2,10,5,normal
SEAT,failure_rate,2024-01-06T11:00:00,0.03,11,6,normal
SEAT,p95_duration,2024-01-06T11:00:00,278.3,11,6,normal
JUDGE,failure_rate,2024-01-07T09:00:00,0.02,9,7,normal
JUDGE,p95_duration,2024-01-07T09:00:00,421.8,9,7,normal
SEAT,failure_rate,2024-01-01T15:00:00,0.92,15,1,anomaly
JUDGE,failure_rate,2024-01-02T14:00:00,0.87,14,2,anomaly
SEAT,p95_duration,2024-01-03T14:00:00,8450.0,14,3,anomaly
JUDGE,p95_duration,2024-01-01T16:00:00,9200.0,16,1,anomaly
SEAT,failure_rate,2024-01-02T16:00:00,0.95,16,2,anomaly
